sku,position
SAAA24163,1
SAAA29979,2
SAAD4807,3
SAAA24169,4
SAAA24160,5
CCAC1505,6
SAAA24171,7
SAAA24161,8
SAAC3970,9
SAAA5698,10
SAAD6745,11
SKDAA17397,12
SAAD6071,13
SAAD6006,14
PSAAD4928,15
SAAA21463,16
SAAD4810,17
SAAA29974,18
SAAD5272,19
SAAA29976,20
SAAD4854,21
SAAD6244,22
SAAD6748,23
SAAD6105,24
SKDAC1583,25
SKDAA17111,26
SAAD4847,27
SAAD4808,28
SAAD6067,29
SAAD5269,30
SAAA29973,31
CCAA4113,32
SKDAA16707,33
SKDAD1772,34
SAAE7523,35
SKDAD1730,36
SAAA29977,37
SAAA29968,38
SKDAC1551,39
SAAA24172,40
SAAC4115,41
SKDAE2052,42
SAAB1485,43
SKDAE2024,44
SAAD4752,45
CCAA3986,46
SAAD5481,47
CCAC1212,48
SKDAE1945,49
GWAD1023,50
SKDAD1862,51
SKDAA17082,52
SAAA29392,53
SAAD5275,54
SAAA29167,55
GWAD1020,56
SAAD6062,57
SAAE7704,58
SKDAA16140,59
SAAD4812,60
SKDAD1909,61
CCAC1398,62
SAAE7268,63
CCAC1499,64
SKDAA17606,65
SKDAD1919,66
SAAD4866,67
SAAD6394,68
SKDAE2126,69
SKDAB1301,70
SAAA21462,71
SAAD4805,72
CCAA3931,73
SKDAA17611,74
SAAD6060,75
SAAC3965,76
SKDAA17680,77
SAAD4660,78
CCAA1757,79
SAAA29397,80
SKDAD1914,81
SAAC4257,82
SAAA29964,83
SKDAB1250,84
SKDAD1820,85
SAAA29391,86
SAAD4815,87
PSAAD4932,88
SAAD5270,89
SAAA29978,90
CCAA3856,91
SAAD6066,92
PSKDAD1790,93
SAAC3962,94
SAAB1739,95
CCAA4066,96
SKDAC1585,97
SAAC3918,98
SAAD4678,99
SAAC3460,100
SAAD5486,101
CCAC1500,102
CCAA4026,103
SAAE7517,104
SAAE7703,105
SAAD6134,106
SKDAA16704,107
SAAD6248,108
SAAA29967,109
SAAD5483,110
CCAA3438,111
CCAA4029,112
PSAAA28587,113
SAAD5712,114
SAAD4806,115
SAAC3463,116
SAAD6128,117
GWAD1021,118
SAAC3206,119
SAAA29850,120
SAAA29972,121
SKDAC1525,122
SAAA29985,123
SAAD4747,124
SAAA22544,125
SAAA29981,126
SAAD4839,127
SAAD6192,128
SAAE7316,129
SKDAA16141,130
SAAD6132,131
SKDAA17608,132
SKDAE2028,133
SKDAA17431,134
SKDAC1421,135
SAAA24165,136
SAAC3587,137
SAAD4860,138
GWAD1019,139
SAAD6073,140
SKDAC1579,141
SAAD6069,142
CCAA3144,143
CCAA2378,144
CCAC1396,145
SAAD5475,146
SAAD6395,147
SKDAA17607,148
CCAC1444,149
SAAA22658,150
SKDAC1526,151
CCAA3308,152
KRTAA0020,153
SAAA29849,154
SAAD5477,155
CCAA3141,156
SAAA27380,157
SAAA29393,158
SAAC3911,159
SKDAD1917,160
SKDAA17544,161
SAAD5274,162
SKDAC1628,163
SKDAD1819,164
CCAC1218,165
SAAA24162,166
SKDAB1254,167
SAAA21186,168
SAAA29970,169
CCAA4079,170
PSAAA26198,171
SAAABL069,172
SKDAA10301,173
CCAA3983,174
CCAA3987,175
PSAAC2733,176
SAAC3968,177
SAAD6387,178
SAAA29629,179
SAAA29975,180
SKDAE2049,181
SKDAE2130,182
PSAAD5143,183
SAAA29389,184
SKDAC1528,185
GWAD1022,186
SAAE7031,187
SKDAC1548,188
SKDAA17112,189
SKDAE2027,190
SKDAA14745,191
SKDAD1896,192
SKDAA17085,193
SKDAA13503,194
PSAAA26403,195
SAAB1414,196
SKDAA17547,197
CCAC1203,198
SAAA29838,199
SAAD5472,200
SAAD4814,201
CCAC1217,202
PSAAD5066,203
SAAE7516,204
SKDAD1865,205
CCAC1443,206
PSAAC4063,207
SKDAA17609,208
SAAA29394,209
SAAA29170,210
CCAA3933,211
SAAE7318,212
SKDAC1609,213
SKDAD1872,214
SAAD6384,215
SKDAA17299,216
CCAE1570,217
SAAE7314,218
SKDAE1942,219
CCAA3932,220
SAAD4813,221
SAAD4845,222
SAAD5271,223
SKDAA14841,224
SAAE7384,225
CCAC1433,226
SAAA27751,227
SAAD5276,228
SKDAA17106,229
SAAA29842,230
SAAD5735,231
SKDAC1530,232
CCAE1567,233
PSAAD4957,234
SAAA28874,235
SKDAC1584,236
SAAE7187,237
SKDAD1736,238
SKDAB1251,239
PSAAD5766,240
SAAC3916,241
SAAD6383,242
PSAAD5087,243
SKDAE2129,244
SAAA29152,245
SKDAC1532,246
SKDAC1580,247
CCAC1394,248
SKDAA17570,249
CCAA1758,250
CCAA3984,251
CCAC1503,252
SKDAA7801,253
CCAA3307,254
CCAC1222,255
SAAA29832,256
SAAC3569,257
PSAAB1373,258
SAAC3963,259
SAAD4809,260
SAAE7325,261
CCAC1304,262
SAAA29639,263
PSAAD4644,264
CCAB1163,265
PSAAD6792,266
SAAE7524,267
SAAE7585,268
SAAA27574,269
PSAAD5118,270
PSAAD5621,271
SAAD6742,272
PGWAA0455,273
SKDAA17114,274
CCAE1663,275
SAAD4832,276
SAAE7520,277
SAAD5566,278
CCAE1578,279
SAAA28875,280
SAAE7133,281
SAAE7380,282
SKDAE2173,283
PGWAA0523,284
PSAAC4354,285
PSKDAA15929,286
SKDAA16703,287
SKDAD1804,288
CCAC1501,289
SKDAD1892,290
CCAA4028,291
PSAAC4292,292
PSAAD5348,293
SKDAD1871,294
CCAA3977,295
CCAC1366,296
CCAE1554,297
CCAC1454,298
CCAC1471,299
CCAC1502,300
SAAA25387,301
SKDAA14242,302
PSAAD5082,303
SAAC3971,304
SAAE7402,305
SAAE7422,306
SAAE7564,307
SAAE7391,308
CCAA3936,309
SKDAC1627,310
SAAE7382,311
CCAA3982,312
SAAA27374,313
SAAA29851,314
SKDAA13504,315
CCAC1375,316
PSAAD5844,317
SAAD4746,318
SAAD6249,319
SAAE7319,320
SAAE7353,321
SAAE7522,322
SKDAB1285,323
